#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
metafacebooktownhall.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookwatch.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafacebookwatch.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafb.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbgroups.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbgroups.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbmarketplace.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbmarketplace.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbmarketplace.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafbmarketplace.us,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafightcovidmisinfo.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafightcovidmisinfo.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforcreators.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforcreators.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafordevelopers.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafordevelopers.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforeducation.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforeducation.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforgovernment.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforgovernment.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforgpa.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaforgpa.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafreebasics.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metafreebasics.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metagpa.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metagpa.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metagreatdaytovideo.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metagreatdaytovideo.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahackforgood.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahackforgood.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahackthefuture.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahackthefuture.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonvenues.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonvenues.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonworkrooms.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonworkrooms.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonworlds.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metahorizonworlds.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
